"CNPJ/CPF do Sancionado";"Nome";"UF do sancionado";"Tipo da Sanção";"Data Inicial da Sanção";"Data Final da Sanção";"Nome do Órgão Sancionador";"Valor da Multa";
"11.753.865/0001-45";"brasfitness comercio de artigos esportivos";"DF";"Publicação Extraordinária - Lei 12.846/13";"11/10/2017";"Sem informação";"CONTROLADORIA  GERAL DO ESTADO DE MINAS GERAIS - MG";"0,00";
"***.720.748-**";"bruno soares bernardo";"SP";"Publicação Extraordinária - Lei 12.846/13";"19/10/2018";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"0,00";
"***.720.748-**";"bruno soares bernardo";"SP";"Multa - Lei 12.846/13";"19/10/2018";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"180.000,00";
"18.203.175/0001-61";"c. b. braga servico e comercio de papelaria me";"RJ";"Multa - Lei 12.846/13";"15/04/2019";"Sem informação";"PREFEITURA MUNICIPAL DE RIO DAS OSTRAS - RJ";"796,59";
"18.203.175/0001-61";"c.b. braga servico e comercio de artigo de papelaria me";"RJ";"Multa - Lei 12.846/13";"18/12/2018";"Sem informação";"PREFEITURA MUNICIPAL DE RIO DAS OSTRAS - RJ";"2.118,64";
"19.179.828/0001-87";"caribole eventos, pesquisa e transportes ltda. - me";"SP";"Publicação Extraordinária - Lei 12.846/13";"08/02/2019";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"0,00";
"19.179.828/0001-87";"caribole eventos, pesquisas e transportes ltda. - me";"SP";"Multa - Lei 12.846/13";"08/02/2019";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"150.000,00";
"***.334.449-**";"carlos arturo mallorquin junior    ";"Sem Informação";"Multa - Lei 12.846/13";"18/02/2020";"Sem informação";"BANCO DO BRASIL S.A.";"6.000,00";
"09.153.310/0001-10";"centro de formacao de condutores miranda ltda - me";"ES";"Multa - Lei 12.846/13";"19/09/2018";"Sem informação";"Governo do Estado do Espírito Santo (SECONT - Secretaria de Estado de Controle e Transparência)";"18.219,70";
"21.504.073/0001-90";"centro de formacao de condutores serracar laranjeiras ltda";"ES";"Multa - Lei 12.846/13";"19/09/2018";"Sem informação";"Governo do Estado do Espírito Santo (SECONT - Secretaria de Estado de Controle e Transparência)";"18.219,70";
"03.477.339/0001-71";"cesar vinicius moleiro ribas & cia ltda - me";"MS";"Proibição - Lei 12.846/13";"17/10/2019";"16/10/2020";"Ministério Público da União (MPU)";"0,00";
"69.154.623/0001-15";"claudinei camargo zechi sertaozinho me";"SP";"Proibição - Lei 12.846/13";"03/12/2019";"03/12/2022";"MUNICIPIO DE PONTAL";"0,00";
"08.143.105/0001-01";"comercio de materiais para construcao marigu ltda-me";"SP";"Suspensão/Interdição das atividades - Lei 12.846/13";"12/09/2019";"Sem informação";"Justiça do Estado de São Paulo";"0,00";
"14.386.616/0001-57";"confraria andre ltda. - me";"PR";"Multa - Lei 12.846/13";"15/08/2016";"Sem informação";"Empresa Brasileira de Infra-Estrutura Aeroportuária - INFRAERO";"61.831,81";
"03.821.415/0001-14";"construmat ltda ";"MG";"Multa - Lei 12.846/13";"05/09/2018";"Sem informação";"PREFEITURA MUNICIPAL DE SANTA BARBARA - MG";"21.204,00";
"18.272.480/0001-05";"construtora madema - eireli ";"MG";"Multa - Lei 12.846/13";"05/09/2018";"Sem informação";"PREFEITURA MUNICIPAL DE SANTA BARBARA - MG";"21.052,52";
"19.426.827/0001-90";"construtora millenium ltda - epp";"PB";"Suspensão/Interdição das atividades - Lei 12.846/13";"24/05/2019";"Sem informação";"Justiça Federal da Paraíba";"0,00";
"07.994.516/0001-48";"d & d empreendimentos comerciais eireli - me ";"MG";"Multa - Lei 12.846/13";"31/05/2019";"Sem informação";"PREFEITURA MUNICIPAL DE SANTA BARBARA - MG";"6.683,78";
"14.838.591/0001-85";"daniela isidoro de paula me";"SP";"Publicação Extraordinária - Lei 12.846/13";"09/05/2019";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"0,00";
"14.838.591/0001-85";"daniela isidoro de paula me";"SP";"Multa - Lei 12.846/13";"09/05/2019";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"40.000,00";
"04.231.732/0001-43";"dbr distribuidora de acessorios automotivos ltda";"MG";"Multa - Lei 12.846/13";"07/04/2020";"07/04/2025";"BANCO DO BRASIL S.A.";"65.488,00";
"04.231.732/0001-43";"dbr distribuidora de acessorios automotivos ltda";"MG";"Publicação Extraordinária - Lei 12.846/13";"07/04/2020";"07/04/2025";"BANCO DO BRASIL S.A.";"0,00";
"22.492.920/0001-07";"dbr parts comercio varejista de acessorios para veiculos eireli";"MG";"Multa - Lei 12.846/13";"07/04/2020";"07/04/2025";"BANCO DO BRASIL S.A.";"148.435,09";
"22.492.920/0001-07";"dbr parts comercio varejista de acessorios para veiculos eireli";"MG";"Publicação Extraordinária - Lei 12.846/13";"07/04/2020";"07/04/2025";"BANCO DO BRASIL S.A.";"0,00";
"06.152.563/0001-81";"drogaria pedro e pinheiro ltda. - me - drogaria sao pedro";"GO";"Suspensão/Interdição das atividades - Lei 12.846/13";"03/10/2019";"02/10/2020";"Ministério Público da União (MPU)";"0,00";
"17.846.708/0001-60";"embramar comercio e servicos em geral ltda.";"DF";"Multa - Lei 12.846/13";"27/09/2019";"27/09/2020";"EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS";"8.029,51";
"17.846.708/0001-60";"embramar comercio e servicos em geral ltda.";"DF";"Publicação Extraordinária - Lei 12.846/13";"27/09/2019";"27/09/2020";"EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS";"0,00";
"15.329.604/0001-53";"emn construcoes e locacoes ltda";"PB";"Suspensão/Interdição das atividades - Lei 12.846/13";"24/05/2019";"Sem informação";"Justiça Federal da Paraíba";"0,00";
"10.585.153/0001-00";"empreiteira gusmao ltda";"MG";"Multa - Lei 12.846/13";"20/08/2019";"Sem informação";"CONTROLADORIA  GERAL DO ESTADO DE MINAS GERAIS - MG";"6.000,00";
"24.553.849/0001-50";"estafe comercio e servicos eireli";"ES";"Multa - Lei 12.846/13";"21/10/2019";"Sem informação";"Prefeitura Municipal Vitória (ES)";"6.450,82";
"32.447.500/0001-62";"evolucao comercio alimentacao ltda-me";"ES";"Multa - Lei 12.846/13";"01/06/2016";"Sem informação";"Governo do Estado do Espírito Santo (SECONT - Secretaria de Estado de Controle e Transparência)";"5.973,55";
"05.669.475/0001-99";"extrema eventos ltda";"ES";"Publicação Extraordinária - Lei 12.846/13";"11/10/2019";"Sem informação";"Governo do Estado do Espírito Santo (SECONT - Secretaria de Estado de Controle e Transparência)";"0,00";
"05.669.475/0001-99";"extrema eventos ltda";"ES";"Multa - Lei 12.846/13";"11/10/2019";"Sem informação";"Governo do Estado do Espírito Santo (SECONT - Secretaria de Estado de Controle e Transparência)";"45.704,10";
"26.651.031/0001-04";"f c matos palhano oliveira - me";"MA";"Multa - Lei 12.846/13";"28/11/2019";"28/11/2021";"Secretario de Estado de Indústria, Comércio e Energia - SEINC/MA";"543,08";
"08.436.083/0001-78";"f. schneiderolmi-me";"RJ";"Multa - Lei 12.846/13";"25/02/2019";"Sem informação";"PREFEITURA MUNICIPAL DE RIO DAS OSTRAS - RJ";"1.071,04";
"10.900.587/0001-49";"f.andrade transportes e locacao ltda";"PE";"Publicação Extraordinária - Lei 12.846/13";"27/09/2019";"27/09/2020";"EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS";"0,00";
"10.900.587/0001-49";"f.andrade transportes e locacao ltda";"PE";"Multa - Lei 12.846/13";"27/09/2019";"27/09/2020";"EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS";"706.133,21";
"04.249.145/0001-81";"fanton servicos ltda epp";"ES";"Multa - Lei 12.846/13";"07/12/2018";"Sem informação";"Governo do Estado do Espírito Santo (SECONT - Secretaria de Estado de Controle e Transparência)";"30.000,00";
"01.870.071/0001-08";"fetterolf do brasil comercio e industria de valvulas ltda";"SP";"Multa - Lei 12.846/13";"29/05/2018";"Sem informação";"Petróleo Brasileiro S.A.";"479.919,04";
"19.721.072/0001-56";"fox eletronica eireli";"BA";"Multa - Lei 12.846/13";"23/07/2020";"Sem informação";"BANCO CENTRAL DO BRASIL";"13.672,73";
"39.343.199/0001-96";"friosmil refrigeracao e transportes ltda";"ES";"Publicação Extraordinária - Lei 12.846/13";"29/10/2018";"Sem informação";"Governo do Estado do Espírito Santo (SECONT - Secretaria de Estado de Controle e Transparência)";"0,00";
"04.654.218/0001-10";"full log transportes ltda";"MG";"Multa - Lei 12.846/13";"13/02/2019";"Sem informação";"EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS";"171.739,81";
"27.707.061/0001-40";"g-rio comercio e servicos eirelli ";"RJ";"Multa - Lei 12.846/13";"15/02/2019";"Sem informação";"PREFEITURA MUNICIPAL DE RIO DAS OSTRAS - RJ";"4.859,23";
"07.355.284/0001-88";"geraldo a. das chagas";"ES";"Multa - Lei 12.846/13";"08/11/2019";"Sem informação";"Prefeitura Municipal de Colatina (ES)";"1,00";
"04.059.685/0001-00";"graftec grafica e editora ltda";"SP";"Multa - Lei 12.846/13";"19/08/2016";"Sem informação";"Secretaria Municipal de Justiça - Prefeitura de São Paulo (SP)";"74.414,45";
"04.059.685/0001-00";"graftec grafica e editora ltda";"SP";"Publicação Extraordinária - Lei 12.846/13";"19/08/2016";"Sem informação";"Secretaria Municipal de Justiça - Prefeitura de São Paulo (SP)";"0,00";
"05.249.155/0001-80";"greide construcao e pavimentacao ltda - epp ";"MG";"Multa - Lei 12.846/13";"29/03/2019";"Sem informação";"PREFEITURA MUNICIPAL DE SANTA BARBARA - MG";"34.243,46";
"12.219.026/0001-04";"hlr engenharia ltda";"BA";"Multa - Lei 12.846/13";"29/08/2019";"Sem informação";"Petróleo Brasileiro S.A.";"25.766,76";
"05.676.532/0001-67";"ideal engenharia e servicos ltda  - me";"ES";"Multa - Lei 12.846/13";"27/08/2018";"Sem informação";"Petróleo Brasileiro S.A.";"6.425,42";
"11.044.624/0001-27";"igor fagury eventos - me";"SP";"Publicação Extraordinária - Lei 12.846/13";"28/03/2019";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"0,00";
"11.044.624/0001-27";"igor fagury eventos - me";"SP";"Multa - Lei 12.846/13";"28/03/2019";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"250.000,00";
"21.821.352/0001-88";"inova project service and automation ltda";"PE";"Multa - Lei 12.846/13";"25/07/2019";"Sem informação";"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RONDÔNIA";"98.032,94";
"19.010.566/0001-22";"instituto esporte e vida";"SP";"Publicação Extraordinária - Lei 12.846/13";"28/01/2020";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"0,00";
"19.010.566/0001-22";"instituto esporte e vida";"SP";"Multa - Lei 12.846/13";"28/01/2020";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"461.590,00";
"***.366.368-**";"irineu ferreira";"SP";"Multa - Lei 12.846/13";"14/11/2018";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"15.000,00";
"***.366.368-**";"irineu ferreira";"SP";"Publicação Extraordinária - Lei 12.846/13";"14/11/2018";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"0,00";
"32.251.399/0001-70";"isdn consultoria e empreend de telecomunicacoes ltda";"RJ";"Multa - Lei 12.846/13";"16/03/2020";"Sem informação";"Petróleo Brasileiro S.A.";"81.856,57";
"32.251.399/0001-70";"isdn consultoria e empreend de telecomunicacoes ltda";"RJ";"Publicação Extraordinária - Lei 12.846/13";"16/03/2020";"Sem informação";"Petróleo Brasileiro S.A.";"0,00";
"03.240.946/0001-13";"isorel locacao e servicos ltda.";"BA";"Multa - Lei 12.846/13";"22/04/2019";"Sem informação";"Petróleo Brasileiro S.A.";"3.706.339,14";
"10.453.872/0001-69";"j c kohler engenharia eireli - epp";"PR";"Multa - Lei 12.846/13";"12/03/2018";"Sem informação";"EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS";"37.814,05";
"10.453.872/0001-69";"j c kohler engenharia eireli - epp";"PR";"Publicação Extraordinária - Lei 12.846/13";"12/03/2018";"Sem informação";"EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS";"0,00";
"02.236.769/0001-39";"j cruz servicos administrativos para terceiros ltda";"AM";"Multa - Lei 12.846/13";"03/10/2018";"Sem informação";"UNIVERSIDADE FEDERAL DO AMAZONAS";"19.868,74";
"09.183.119/0001-11";"j&l servicos de reparos e manutencoes ltda - me";"ES";"Multa - Lei 12.846/13";"19/04/2018";"Sem informação";"Governo do Estado do Espírito Santo (SECONT - Secretaria de Estado de Controle e Transparência)";"15.079,52";
"27.122.994/0001-75";"j.l.j. comercio e servicos eirelli-me";"ES";"Multa - Lei 12.846/13";"23/07/2019";"Sem informação";"PREFEITURA MUNICIPAL DE RIO DAS OSTRAS - RJ";"4.009,36";
"13.197.596/0001-03";"jbf engenheiros & arquitetos associados ltda";"SP";"Multa - Lei 12.846/13";"06/04/2020";"07/04/2025";"BANCO DO BRASIL S.A.";"182.000,00";
"13.197.596/0001-03";"jbf engenheiros & arquitetos associados ltda";"SP";"Publicação Extraordinária - Lei 12.846/13";"06/04/2020";"07/04/2025";"BANCO DO BRASIL S.A.";"0,00";
"21.099.250/0001-09";"jequinutri nutricao animal ltda - me";"MG";"Multa - Lei 12.846/13";"27/08/2018";"Sem informação";"Universidade Federal Rual de Pernambuco";"11.087,50";
"45.993.086/0001-39";"jj producoes e cobrancas ltda";"SP";"Multa - Lei 12.846/13";"12/12/2018";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"74.563,60";
"***.028.418-**";"jose roberto raimondo";"SP";"Proibição - Lei 12.846/13";"12/05/2018";"12/05/2021";"Governo do Estado de Mato Grosso do Sul";"0,00";
"05.129.178/0001-50";"jpm comercio atacadista eireli";"MS";"Multa - Lei 12.846/13";"13/05/2019";"Sem informação";"Governo do Estado de Mato Grosso do Sul";"9.102,27";
"24.777.079/0001-20";"ksm engenharia ltda - me";"PR";"Publicação Extraordinária - Lei 12.846/13";"31/01/2018";"Sem informação";"EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS";"0,00";
"24.777.079/0001-20";"ksm engenharia ltda - me";"PR";"Multa - Lei 12.846/13";"31/01/2018";"Sem informação";"EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS";"159,00";
"03.770.977/0001-86";"l.s. pimentel ltda-me";"RJ";"Multa - Lei 12.846/13";"23/07/2019";"Sem informação";"PREFEITURA MUNICIPAL DE RIO DAS OSTRAS - RJ";"359.290,40";
"05.276.664/0001-00";"lbs terceirizacao de mao de obra ltda.";"ES";"Multa - Lei 12.846/13";"30/07/2018";"Sem informação";"Governo do Estado do Espírito Santo (SECONT - Secretaria de Estado de Controle e Transparência)";"213.228,64";
"08.773.745/0001-03";"ludcan comercio de artefatos de cimento e material de construcao ltda";"RJ";"Multa - Lei 12.846/13";"18/04/2019";"Sem informação";"PREFEITURA MUNICIPAL DE RIO DAS OSTRAS - RJ";"299,00";
"08.773.745/0001-03";"ludcan comercio de artefatos de cimento e material de ocnstrucao ltda";"RJ";"Multa - Lei 12.846/13";"19/03/2019";"Sem informação";"PREFEITURA MUNICIPAL DE RIO DAS OSTRAS - RJ";"223,25";
"08.836.146/0001-83";"luza servicos e comercio eirelli me";"RJ";"Multa - Lei 12.846/13";"25/03/2019";"Sem informação";"PREFEITURA MUNICIPAL DE RIO DAS OSTRAS - RJ";"663,75";
"06.067.345/0001-49";"lv distribuidora de materiais ltda";"RJ";"Multa - Lei 12.846/13";"01/04/2015";"Sem informação";"PREFEITURA MUNICIPAL DE RIO DAS OSTRAS - RJ";"39.760,17";
"03.609.172/0001-55";"m v m etiquetas ltda";"CE";"Multa - Lei 12.846/13";"07/11/2019";"Sem informação";"EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS";"59.604,96";
