"CNPJ/CPF do Sancionado";"Nome";"UF do sancionado";"Tipo da Sanção";"Data Inicial da Sanção";"Data Final da Sanção";"Nome do Órgão Sancionador";"Valor da Multa";
"08.173.123/0001-36";"organica brasil comercial eireli";"GO";"Multa - Lei 12.846/13";"07/05/2020";"Sem informação";"SECRETARIA DA SAUDE DO ESTADO DO TOCANTINS - TO";"14.346,00";
"12.711.422/0001-54";"p e l servicos e construcoes ltda - me";"BA";"Multa - Lei 12.846/13";"28/08/2018";"Sem informação";"BANCO DO BRASIL S.A.";"85.938,38";
"12.711.422/0001-54";"p e l servicos e construcoes ltda - me";"BA";"Publicação Extraordinária - Lei 12.846/13";"28/08/2018";"Sem informação";"BANCO DO BRASIL S.A.";"0,00";
"08.235.458/0001-31";"pefran materiais para construcao ltda - me";"BA";"Publicação Extraordinária - Lei 12.846/13";"28/08/2018";"Sem informação";"BANCO DO BRASIL S.A.";"0,00";
"08.235.458/0001-31";"pefran materiais para construcao ltda - me";"BA";"Multa - Lei 12.846/13";"28/08/2018";"Sem informação";"BANCO DO BRASIL S.A.";"10.000,00";
"08.729.407/0001-66";"perc construcoes e incorporacoes ltda-epp";"ES";"Multa - Lei 12.846/13";"05/06/2019";"Sem informação";"Governo do Estado do Espírito Santo (SECONT - Secretaria de Estado de Controle e Transparência)";"201.616,63";
"07.767.450/0001-53";"petrodesign engenharia ltda - epp";"BA";"Multa - Lei 12.846/13";"29/08/2019";"Sem informação";"Petróleo Brasileiro S.A.";"1.463.416,69";
"11.767.402/0001-32";"poggere construcoes e implementos ltda epp";"SC";"Multa - Lei 12.846/13";"09/08/2019";"Sem informação";"PREFEITURA MUNICIPAL DE CAPINZAL - SC";"79.061,89";
"00.904.951/0001-95";"policard systems e servicos s.a.";"MG";"Publicação Extraordinária - Lei 12.846/13";"09/04/2019";"Sem informação";"Controladoria-Geral do Estado de Minas Gerais";"0,00";
"00.904.951/0001-95";"policard systems e servicos s.a.";"MG";"Multa - Lei 12.846/13";"09/04/2019";"Sem informação";"Controladoria-Geral do Estado de Minas Gerais";"325.623,92";
"07.757.951/0001-59";"pp comercio e servicos ltda.";"PR";"Multa - Lei 12.846/13";"11/03/2020";"Sem informação";"Petróleo Brasileiro S.A.";"51.410,99";
"07.757.951/0001-59";"pp comercio e servicos ltda.";"PR";"Publicação Extraordinária - Lei 12.846/13";"11/03/2020";"Sem informação";"Petróleo Brasileiro S.A.";"0,00";
"00.792.112/0001-22";"prestomar servicos maritimos ltda - epp";"RJ";"Multa - Lei 12.846/13";"04/05/2020";"Sem informação";"Agência Nacional de Vigilância Sanitária";"40.005,28";
"03.812.745/0001-43";"primetech informatica ltda-me";"RJ";"Multa - Lei 12.846/13";"18/07/2019";"Sem informação";"PREFEITURA MUNICIPAL DE RIO DAS OSTRAS - RJ";"2.800,00";
"17.335.279/0001-67";"projetos, assessoria e consultoria alves rodrigues eireli";"PA";"Publicação Extraordinária - Lei 12.846/13";"17/12/2019";"Sem informação";"BANCO DO BRASIL S.A.";"0,00";
"17.335.279/0001-67";"projetos, assessoria e consultoria alves rodrigues eireli";"PA";"Multa - Lei 12.846/13";"17/12/2019";"Sem informação";"BANCO DO BRASIL S.A.";"33.535,00";
"13.406.440/0001-95";"protec terceirizacoes e servicos eireli";"RO";"Multa - Lei 12.846/13";"25/07/2019";"Sem informação";"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RONDÔNIA";"120.745,39";
"08.219.178/0001-30";"psg do brasil ltda";"ES";"Multa - Lei 12.846/13";"03/01/2018";"Sem informação";"Petróleo Brasileiro S.A.";"858.824,94";
"21.545.589/0001-83";"r & b produtos e servicos ltda";"ES";"Multa - Lei 12.846/13";"18/12/2019";"Sem informação";"BANCO DO BRASIL S.A.";"23.844,11";
"24.602.657/0001-97";"ralic cmercio e distribuicao eirelli-epp";"RJ";"Multa - Lei 12.846/13";"14/11/2019";"Sem informação";"PREFEITURA MUNICIPAL DE RIO DAS OSTRAS - RJ";"1.221,17";
