"ID DO ACORDO";"CNPJ DO SANCIONADO";"RAZÃO SOCIAL – CADASTRO RECEITA";"NOME FANTASIA – CADASTRO RECEITA";"DATA DE INÍCIO DO ACORDO";"DATA DE FIM DO ACORDO";"SITUAÇÃO DO ACORDO DE LENIÊNICA";"DATA DA INFORMAÇÃO";"NÚMERO DO PROCESSO";"TERMOS DO ACORDO";"ÓRGÃO SANCIONADOR"
"900002";"75609123000123";"OURO VERDE LOCACAO E SERVICO S.A.";"";"01/04/2019";"03/08/2020";"Em Execução";"";"227/2012";"Acordo de Leniência firmado entre a CONTROLADORIA GERAL DO ESTADO DO PARANÁ - CGE e a empresa OURO VERDE LOCAÇÃO E SERVIÇO S.A., inscrita no CNPJ n. 75609.123/0001-23. Ref. Contrato administrativo n. 227/2012 DER. Fundamento legal: art. 44, Decreto Estadual 11953/2018. Início de efetivação de acordo: 01/04/2019. Data de conclusão do acordo: 01/08/2021. Objeto: A empresa colaboradora e seus prepostos, após reconhecerem a participação nos fatos, se obrigaram a reparar o dano difuso à sociedade e ao pagamento de multas civis, previstas na Lei de Improbidade Administrativa (Lei 8.429/92) e na Lei Anticorrupção (Lei 12.846/2013), no total de R$ 33.186.800,39. O acordo de leniência prevê, ainda, a obrigatoriedade da empresa Ouro Verde de implementar ou a melhorar os mecanismos internos de integr";"Controladoria-Geral da União - Unidades com vínculo direto"
"1000001";"68915891000140";"TECHNIP BRASIL - ENGENHARIA, INSTALACOES E APOIO MARITIMO LTDA.";"";"25/06/2019";"25/06/2021";"Em Execução";"";"00190.100977/2018-73";"O acordo foi celebrado em 25/06/2019 entre a Controladoria-Geral da União (CGU), Advocacia-Geral da União (AGU) e as empresas TECHNIP BRASIL - ENGENHARIA, INSTALAÇÕES E APOIO MARÍTIMO LTDA. e FLEXIBRÁS TUBOS FLEXÍVEIS LTDA., definindo o pagamento no valor total de R$ 819.794.768,77. Nesse acordo, o valor global não envolve multa nos termos do inciso I, do artigo 6, da Lei nº 12.846/2013.Flexibrás Tubo Flexíveis Ltda. - CNPJ 28.910.529/0001-61";"Controladoria-Geral da União - Unidades com vínculo direto"
"1000002";"05144757000172";"ODEBRECHT S.A. EM RECUPERACAO JUDICIAL";"";"09/07/2018";"31/10/2039";"Em Execução";"";"00190.103765/2018-48";"O acordo foi celebrado em 09/07/2018 entre a Controladoria-Geral da União (CGU), Advocacia-Geral da União (AGU) e as empresas que integram o grupo econômico ODEBRECHT, definindo o pagamento no valor total de R$ 2.727.239.997,64, dos quais R$ 311.191.571,34 correspondem a multa nos termos do inciso I, do artigo 6, da Lei nº 12.846/2013.";"Controladoria-Geral da União - Unidades com vínculo direto"
"1000003";"02357415000142";"NOVA PARTICIPACOES S.A.";"";"12/11/2019";"31/01/2046";"Em Execução";"";"00190.114137/2018-98";"O acordo foi celebrado em 12/11/2019 entre a Controladoria-Geral da União (CGU), Advocacia-Geral da União (AGU) e as empresas do antigo Grupo Engevix, definindo o pagamento no valor total de R$ 516.301.313,70, dos quais R$ 53.366.763,49 correspondem a multa nos termos do inciso I, do artigo 6, da Lei n 12.846/2013.Nova Engevix Engenharia e Projetos S.A. - CNPJ 00.103.582/0001-31Nova Engevix Construções e Montagens S.A. - CNPJ 18.294.051/0001-39Infravix Participações S.A. - CNPJ 12.366.484/0001-76Ecovix Construções Oceânicas S/A - CNPJ 11.754.525/0001-39";"Controladoria-Geral da União - Unidades com vínculo direto"
"1000004";"61522512000102";"CONSTRUCOES E COMERCIO CAMARGO CORREA S/A";"";"31/07/2019";"31/01/2038";"Em Execução";"";"00190.021050/2015-25";"O acordo foi celebrado em 31/07/2019 entre a Controladoria-Geral da União (CGU), a Advocacia-Geral da União (AGU) e as empresas do grupo Camargo Corrêa, definindo o pagamento no valor total de R$ 1.396.128.459,76, dos quais R$ 36.239.150,34 correspondem a multa nos termos do inciso I, do artigo 6, da Lei n 12.846/2013.Camargo Corrêa Construções e Participações S.A. - CNPJ 11.196.609/0001-02MOVER Participações - CNPJ 01.098.905/0001-09";"Controladoria-Geral da União - Unidades com vínculo direto"
"1000005";"14811848000105";"OAS S.A. - EM RECUPERACAO JUDICIAL";"";"14/11/2019";"31/12/2047";"Em Execução";"";"00190.100366/2018-25";"O acordo foi celebrado em 14/11/2019 entre a Controladoria-Geral da União (CGU), Advocacia-Geral da União (AGU) e as empresas do grupo OAS, definindo o pagamento no valor total de R$ 1.929.257.982,37, dos quais R$ 320.067.086,02 correspondem a multa nos termos do inciso I, do artigo 6, da Lei n 12.846/2013.Construtora OAS S.A. - Em Recuperação Judicial - CNPJ 14.310.577/0001-04COESA Engenharia LTDA. - CNPJ 13.578.349/0001-57OAS Logística e Comércio Exterior S.A. - CNPJ 18.738.703/0001-87OAS Óleo e Gás S.A. - CNPJ 11.866.604/0001-31OAS Empreendimentos S.A. - Em Recuperação Judicial - CNPJ 06.324.922/0001-30OAS Defesa S.A. - CNPJ 15.806.518/0001-94OAS Energy GMBHOAS African Investments LTD.OAS Central America Investing Limited (BVI)";"Controladoria-Geral da União - Unidades com vínculo direto"
"1000006";"61067377000152";"MULLEN LOWE BRASIL PUBLICIDADE LTDA";"MULLEN LOWE BRASIL";"13/04/2018";"13/04/2020";"Em Execução";"";"00190.024631/2015-19";"O acordo foi celebrado em 13/04/2018 entre a Controladoria-Geral da União (CGU), a Advocacia-Geral da União (AGU) e as empresas Mullen Lowe Brasil Publicidade Ltda. e FCB Brasil Publicidade e Comunicação Ltda., definindo o pagamento no valor total de R$ 50.000.000,00, dos quais R$ 8.056.735,23 correspondem a multa nos termos do inciso I, do artigo 6, da Lei nº 12.846/2013.FCB Brasil Publicidade e Comunicação Ltda. - CNPJ 46.516.712/0001-69";"Controladoria-Geral da União - Unidades com vínculo direto"
"1000007";"44023661000108";"U T C ENGENHARIA S/A - EM RECUPERACAO JUDICIAL";"UTC ENGENHARIA";"10/07/2017";"10/07/2038";"Em Execução";"";"00190.017877/2015-34";"O acordo foi celebrado em 10/07/2017 entre a Controladoria-Geral da União (CGU), a Advocacia-Geral da União (AGU) e as empresas do grupo UTC, definindo o pagamento no valor total de R$ 574.658.165,21, dos quais R$ 47.954.099,05 correspondem a multa nos termos do inciso I, do artigo 6, da Lei n 12.846/2013.CONSTRAN S.A. - Construções e Comércio - CNPJ 61.156.568/0019-10UTC Participações S.A. - CNPJ 02.164.892/0001-91";"Controladoria-Geral da União - Unidades com vínculo direto"
"1000008";"EXSBM ";"";"";"26/07/2018";"29/06/2030";"Em Execução";"";"00190.007023/2015-40";"O acordo foi celebrado em 26/07/2018 entre a Controladoria-Geral da União (CGU), a Advocacia-Geral da União (AGU), a Petroleo Brasileiro S.A. (Petrobras) e as empresas SBM Offshore N.V. e SBM Holding Inc., S.A., definindo o pagamento no valor total de R$ 549.000.000,00. Nesse acordo, o valor global não envolve multa nos termos do inciso I, do artigo 6, da Lei nº 12.846/2013.";"Controladoria-Geral da União - Unidades com vínculo direto"
"1000009";"17262213000194";"ANDRADE GUTIERREZ ENGENHARIA S/A";"CONSTRUTORA ANDRADE GUTIERREZ SA EST. UNIF.";"18/12/2018";"30/06/2031";"Em Execução";"";"00190.024632/2015-63";"O acordo foi celebrado em 18/12/2018 entre a Controladoria-Geral da União (CGU), a Advocacia-Geral da União (AGU) e as empresas do grupo Andrade Gutierrez, definindo o pagamento no valor total de R$ 1.489.361.135,32, dos quais R$ 160.909.989,00 correspondem a multa nos termos do inciso I, do artigo 6, da Lei nº 12.846/2013.Andrade Gutierrez Investimentos em Engenharia S/A - CNPJ 17.027.611/0001-26Andrade Gutierrez S/A - CNPJ 17.262.197/0001-30";"Controladoria-Geral da União - Unidades com vínculo direto"
